drive,config,rw,bw_mbps
hdd,01-ext4,rnd-4k-q32-t16-read,1.62
hdd,01-ext4,rnd-4k-q32-t16-write,2.3
hdd,01-ext4,seq-1m-q8-t1-read,205.36
hdd,01-ext4,seq-1m-q8-t1-write,208.61
hdd,02-ext4+integrity,rnd-4k-q32-t16-read,1.56
hdd,02-ext4+integrity,rnd-4k-q32-t16-write,1.73
hdd,02-ext4+integrity,seq-1m-q8-t1-read,204.44
hdd,02-ext4+integrity,seq-1m-q8-t1-write,90.9
hdd,03-ext4+integrity[no-journal],rnd-4k-q32-t16-read,1.52
hdd,03-ext4+integrity[no-journal],rnd-4k-q32-t16-write,2.17
hdd,03-ext4+integrity[no-journal],seq-1m-q8-t1-read,203.23
hdd,03-ext4+integrity[no-journal],seq-1m-q8-t1-write,179.42
hdd,04-ext4+integrity[bitmap-mode],rnd-4k-q32-t16-read,2.19
hdd,04-ext4+integrity[bitmap-mode],rnd-4k-q32-t16-write,2.13
hdd,04-ext4+integrity[bitmap-mode],seq-1m-q8-t1-read,203.57
hdd,04-ext4+integrity[bitmap-mode],seq-1m-q8-t1-write,173.12
hdd,05-ext4+crypt,rnd-4k-q32-t16-read,1.63
hdd,05-ext4+crypt,rnd-4k-q32-t16-write,2.33
hdd,05-ext4+crypt,seq-1m-q8-t1-read,203.64
hdd,05-ext4+crypt,seq-1m-q8-t1-write,206.69
hdd,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-read,1.67
hdd,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-write,1.74
hdd,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-read,202.41
hdd,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-write,87.9
hdd,07-ext4+crypt+integrity,rnd-4k-q32-t16-read,1.58
hdd,07-ext4+crypt+integrity,rnd-4k-q32-t16-write,1.75
hdd,07-ext4+crypt+integrity,seq-1m-q8-t1-read,206.07
hdd,07-ext4+crypt+integrity,seq-1m-q8-t1-write,89.07
hdd,08-ext4+raid,rnd-4k-q32-t16-read,3.52
hdd,08-ext4+raid,rnd-4k-q32-t16-write,1.98
hdd,08-ext4+raid,seq-1m-q8-t1-read,213.58
hdd,08-ext4+raid,seq-1m-q8-t1-write,202.7
hdd,09-ext4+raid+integrity,rnd-4k-q32-t16-read,3.05
hdd,09-ext4+raid+integrity,rnd-4k-q32-t16-write,1.7
hdd,09-ext4+raid+integrity,seq-1m-q8-t1-read,219.72
hdd,09-ext4+raid+integrity,seq-1m-q8-t1-write,89.87
hdd,10-ext4+lvm,rnd-4k-q32-t16-read,1.65
hdd,10-ext4+lvm,rnd-4k-q32-t16-write,2.36
