drive,config,rw,bw_mbps
ram,01-ext4,rnd-4k-q32-t16-read,6408.13
ram,01-ext4,rnd-4k-q32-t16-write,4722.55
ram,01-ext4,seq-1m-q8-t1-read,5763.68
ram,01-ext4,seq-1m-q8-t1-write,5228.41
ram,02-ext4+integrity,rnd-4k-q32-t16-read,1937.38
ram,02-ext4+integrity,rnd-4k-q32-t16-write,736.01
ram,02-ext4+integrity,seq-1m-q8-t1-read,3078.51
ram,02-ext4+integrity,seq-1m-q8-t1-write,1257.06
ram,03-ext4+integrity[no-journal],rnd-4k-q32-t16-read,1945.19
ram,03-ext4+integrity[no-journal],rnd-4k-q32-t16-write,1031.15
ram,03-ext4+integrity[no-journal],seq-1m-q8-t1-read,3334.59
ram,03-ext4+integrity[no-journal],seq-1m-q8-t1-write,2059.3
ram,04-ext4+integrity[bitmap-mode],rnd-4k-q32-t16-read,1957.1
ram,04-ext4+integrity[bitmap-mode],rnd-4k-q32-t16-write,1004.71
ram,04-ext4+integrity[bitmap-mode],seq-1m-q8-t1-read,3203.65
ram,04-ext4+integrity[bitmap-mode],seq-1m-q8-t1-write,2045.93
ram,05-ext4+crypt,rnd-4k-q32-t16-read,3331.11
ram,05-ext4+crypt,rnd-4k-q32-t16-write,2597.79
ram,05-ext4+crypt,seq-1m-q8-t1-read,1694.93
ram,05-ext4+crypt,seq-1m-q8-t1-write,1500.01
ram,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-read,586.09
ram,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-write,335.96
ram,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-read,653.07
ram,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-write,199.89
ram,07-ext4+crypt+integrity,rnd-4k-q32-t16-read,1457.62
ram,07-ext4+crypt+integrity,rnd-4k-q32-t16-write,468.29
ram,07-ext4+crypt+integrity,seq-1m-q8-t1-read,3468.69
ram,07-ext4+crypt+integrity,seq-1m-q8-t1-write,757.01
ram,10-ext4+lvm,rnd-4k-q32-t16-read,5492.1
ram,10-ext4+lvm,rnd-4k-q32-t16-write,4126.13
ram,10-ext4+lvm,seq-1m-q8-t1-read,5651.07
ram,10-ext4+lvm,seq-1m-q8-t1-write,5213.57
ram,14-btrfs,rnd-4k-q32-t16-read,2068.73
ram,14-btrfs,rnd-4k-q32-t16-write,41.74
ram,14-btrfs,seq-1m-q8-t1-read,5644.51
ram,14-btrfs,seq-1m-q8-t1-write,3651.48
ram,17-zfs,rnd-4k-q32-t16-read,230.53
ram,17-zfs,rnd-4k-q32-t16-write,58.72
ram,17-zfs,seq-1m-q8-t1-read,2379.25
ram,17-zfs,seq-1m-q8-t1-write,1949.56
